"county"	"party"	"votes"	"p"
"delaware,new castle"	"Republican"	74608	0.000576460276147714
"delaware,sussex"	"Republican"	47939	0.000370401688535348
"florida,alachua"	"Republican"	48513	0.000374836711569189
"florida,baker"	"Republican"	8672	6.70043898074332e-05
"florida,bay"	"Republican"	56683	0.000437962387852253
"florida,bradford"	"Republican"	8136	6.28629745702579e-05
"florida,brevard"	"Republican"	157589	0.00121761471233436
"florida,broward"	"Republican"	237729	0.00183681810245979
"florida,calhoun"	"Republican"	4345	3.35717335924005e-05
"florida,charlotte"	"Republican"	45205	0.000349277380217368
"florida,citrus"	"Republican"	43706	0.000337695325291014
"florida,clay"	"Republican"	67203	0.000519245388402783
"florida,collier"	"Republican"	86379	0.000667409154425308
"florida,columbia"	"Republican"	18670	0.000144254146414296
"florida,de soto"	"Republican"	5632	4.35157660742001e-05
"florida,dixie"	"Republican"	5194	4.0131549891583e-05
"florida,duval"	"Republican"	210537	0.00162671854438279
"florida,escambia"	"Republican"	91411	0.00070628900792058
"florida,flagler"	"Republican"	23951	0.000185057903629824
"florida,franklin"	"Republican"	3818	2.94998570439091e-05
"florida,gadsden"	"Republican"	6811	5.26253342917928e-05
"florida,gilchrist"	"Republican"	5656	4.37012025773572e-05
"florida,glades"	"Republican"	1938	1.49739976299361e-05
"florida,gulf"	"Republican"	4980	3.84780744050988e-05
"florida,hamilton"	"Republican"	3179	2.45626101473512e-05
"florida,hardee"	"Republican"	4763	3.680141935572e-05
"florida,hendry"	"Republican"	5780	4.46592911770023e-05
"florida,hernando"	"Republican"	45021	0.00034785570035983
"florida,highlands"	"Republican"	26221	0.0002025971062201
"florida,hillsborough"	"Republican"	236355	0.00182620186265404
"florida,holmes"	"Republican"	7033	5.4340621945996e-05
"florida,indian river"	"Republican"	40176	0.00031042070628499
"florida,jackson"	"Republican"	13717	0.000105984688075249
"florida,jefferson"	"Republican"	3797	2.93376001036466e-05
"florida,lafayette"	"Republican"	2679	2.06993496649116e-05
"florida,lake"	"Republican"	82802	0.000639771388933934
"florida,lee"	"Republican"	147608	0.0011404963065839
"florida,leon"	"Republican"	55705	0.000430405850348601
"florida,levy"	"Republican"	11754	9.0817527421191e-05
"florida,liberty"	"Republican"	2339	1.80723325368526e-05
"florida,madison"	"Republican"	4544	3.51093112644115e-05
"florida,manatee"	"Republican"	80721	0.000623692498806021
"florida,marion"	"Republican"	89628	0.0006925126210402
"florida,martin"	"Republican"	44143	0.000341071814952666
"florida,dade"	"Republican"	360551	0.00278580486040819
"florida,monroe"	"Republican"	18933	0.000146286221428059
"florida,nassau"	"Republican"	27403	0.000211729854000587
"florida,okaloosa:main"	"Republican"	68789	0.000531499650653081
"florida,okeechobee"	"Republican"	7561	5.84202250154523e-05
"florida,orange"	"Republican"	186832	0.00144356136491033
"florida,osceola"	"Republican"	40086	0.000309725319398151
"florida,palm beach"	"Republican"	226037	0.00174647961933842
"florida,pasco"	"Republican"	110104	0.000850720864317069
"florida,pinellas"	"Republican"	210066	0.00162307935300833
"florida,polk"	"Republican"	128878	0.000995778568911712
"florida,putnam"	"Republican"	19637	0.000151725692187335
"florida,santa rosa"	"Republican"	55972	0.000432468831446223
"florida,sarasota"	"Republican"	102897	0.000795035827723184
"florida,seminole"	"Republican"	105070	0.000811825557779866
"florida,st johns"	"Republican"	69222	0.000534845234230874
"florida,st lucie"	"Republican"	52512	0.000405735068907741
"florida,sumter"	"Republican"	30866	0.000238486796101964
"florida,suwannee"	"Republican"	12534	9.6844213773797e-05
"florida,taylor"	"Republican"	6457	4.98901458702255e-05
"florida,union"	"Republican"	3940	3.04424926016244e-05
"florida,volusia"	"Republican"	113938	0.000880344345696416
"florida,wakulla"	"Republican"	8877	6.85883266052334e-05
"florida,walton"	"Republican"	19561	0.000151138476594004
"florida,washington"	"Republican"	8178	6.31874884507828e-05
"georgia,appling"	"Republican"	5085	3.92893591064112e-05
"georgia,atkinson"	"Republican"	1941	1.49971771928307e-05
"georgia,bacon"	"Republican"	3089	2.38672232605121e-05
"georgia,baker"	"Republican"	828	6.39755935892005e-06
"georgia,baldwin"	"Republican"	7823	6.04445735082506e-05
"georgia,banks"	"Republican"	5120	3.95597873401819e-05
